                     mean       sd    hdi_3%  ...  ess_bulk  ess_tail  r_hat
rates[0]            0.422    0.045     0.377  ...       2.0      14.0   2.87
rates[1]          390.024   48.983   335.652  ...       3.0      12.0   2.12
rates[2]          387.013   98.514   280.060  ...       3.0      17.0   2.18
rates[3]          256.346   46.809   205.067  ...       3.0      14.0   2.08
rates[4]          194.156    4.720   185.644  ...       3.0      18.0   2.28
rates[5]          282.683   18.207   261.886  ...       3.0      22.0   1.89
rates[6]          236.904   16.708   216.482  ...       3.0      25.0   1.92
rates[7]          185.840  109.931    75.171  ...       3.0      15.0   2.17
rates[8]           92.542   31.366    59.732  ...       3.0     114.0   1.87
rates[9]           28.886   27.866     1.025  ...       3.0      15.0   2.14
switchpoints[0]     0.729    0.104     0.476  ...       4.0      13.0   2.18
switchpoints[1]   438.661  177.988   259.809  ...       2.0      12.0   2.55
switchpoints[2]   719.585  141.955   575.813  ...       3.0      11.0   2.15
switchpoints[3]  1111.280  229.880   876.975  ...       3.0      11.0   2.27
switchpoints[4]  1811.692   60.869  1749.683  ...       3.0      18.0   1.88
switchpoints[5]  2332.907  217.878  2113.631  ...       3.0      12.0   1.92
switchpoints[6]  2701.340  165.179  2533.847  ...       2.0      12.0   2.34
switchpoints[7]  2962.483  237.366  2723.759  ...       3.0      12.0   2.12
switchpoints[8]  3665.088  572.259  3090.256  ...       3.0      28.0   1.85

[19 rows x 9 columns]
