Reference,Location,U-Pb (Ma)
1,Africa,2746
1,Africa,2542
1,Africa,2561
1,Africa,2028
1,Africa,2096
1,Africa,2259
1,Africa,2108
1,Africa,2374
1,Africa,2497
1,Africa,2262
1,Africa,2487
1,Africa,2722
1,Africa,2610
1,Africa,2538
1,Africa,2205
1,Africa,2110
1,Africa,2515
1,Africa,2527
1,Africa,2422
1,Africa,2432
1,Africa,2514
1,Africa,2513
1,Africa,2456
1,Africa,2516
1,Africa,2420
1,Africa,2450
1,Africa,2448
1,Africa,2389
1,Africa,2462
1,Africa,2210
1,Africa,2087
1,Africa,2129
1,Africa,2392
1,Africa,2322
1,Africa,2221
1,Africa,2261
1,Africa,2443
1,Africa,2180
1,Africa,2199
1,Africa,2064
1,Africa,2192
1,Africa,2343
1,Africa,2454
1,Africa,2197
1,Africa,2119
1,Africa,2206
1,Africa,2343
1,Africa,2218
1,Africa,2229
1,Africa,2194
1,Africa,2220
1,Africa,1923
1,Africa,2152
1,Africa,2319
1,Africa,2105
1,Africa,2080
1,Africa,1825
1,Africa,1908
1,Africa,2075
1,Africa,1857
1,Africa,2055
1,Africa,1969
1,Africa,2100
1,Africa,2087
1,Africa,1940
1,Africa,2130
1,Africa,1927
1,Africa,1955
1,Africa,2105
1,Africa,2193
1,Africa,2118
1,Africa,2095
1,Africa,2117
1,Africa,2032
1,Africa,2128
1,Africa,1809
1,Africa,2076
1,Africa,2283
1,Africa,2202
1,Africa,2227
1,Africa,2228
1,Africa,2046
1,Africa,2087
1,Africa,2289
1,Africa,2084
1,Africa,1907
1,Africa,2054
1,Africa,1905
1,Africa,2088
1,Africa,2264
1,Africa,1795
1,Africa,2215
1,Africa,2166
1,Africa,2068
1,Africa,1947
1,Africa,2012
1,Africa,2006
1,Africa,1948
1,Africa,2039
1,Africa,2054
1,Africa,1960
1,Africa,2054
1,Africa,2077
1,Africa,2078
1,Africa,2044
1,Africa,2169
1,Africa,2052
1,Africa,2066
1,Africa,1905
1,Africa,2198
1,Africa,2020
1,Africa,2164
1,Africa,1819
1,Africa,2036
1,Africa,1789
1,Africa,2016
1,Africa,1970
1,Africa,2052
1,Africa,2114
1,Africa,2114
1,Africa,2200
1,Africa,2068
1,Africa,2042
1,Africa,2149
1,Africa,2173
1,Africa,2091
1,Africa,1986
1,Africa,2080
1,Africa,2048
1,Africa,2106
1,Africa,1934
1,Africa,2039
1,Africa,2085
1,Africa,2031
1,Africa,2028
1,Africa,2114
1,Africa,2121
1,Africa,2037
1,Africa,2120
1,Africa,2055
1,Africa,2077
1,Africa,2087
1,Africa,2056
1,Africa,2021
1,Africa,2111
1,Africa,2013
1,Africa,2079
1,Africa,2069
1,Africa,1819
1,Africa,2178
1,Africa,2090
1,Africa,2021
1,Africa,1830
1,Africa,1847
1,Africa,613
1,Africa,609
1,Africa,612
1,Africa,619
1,Africa,616
1,Africa,616
1,Africa,617
1,Africa,624
1,Africa,640
1,Africa,608
1,Africa,643
1,Africa,633
1,Africa,598
1,Africa,610
1,Africa,560
1,Africa,661
1,Africa,610
1,Africa,614
1,Africa,611
1,Africa,603
1,Africa,637
1,Africa,612
1,Africa,618
1,Africa,633
1,Africa,637
1,Africa,591
1,Africa,617
1,Africa,612
1,Africa,591
1,Africa,624
1,Africa,593
1,Africa,579
1,Africa,644
1,Africa,640
1,Africa,598
1,Africa,655
1,Africa,641
1,Africa,606
1,Africa,583
1,Africa,601
1,Africa,563
1,Africa,586
1,Africa,596
1,Africa,634
1,Africa,590
1,Africa,548
1,Africa,544
1,Africa,580
1,Africa,584
1,Africa,574
1,Africa,638
1,Africa,556
1,Africa,558
1,Africa,563
1,Africa,581
1,Africa,590
1,Africa,546
1,Africa,552
1,Africa,591
1,Africa,552
1,Africa,550
1,Africa,579
1,Africa,556
1,Africa,543
1,Africa,543
1,Africa,557
1,Africa,561
1,Africa,554
1,Africa,613
1,Africa,567
1,Africa,540
1,Africa,564
1,Africa,616
1,Africa,662
1,Africa,556
1,Africa,555
1,Africa,574
1,Africa,579
1,Africa,650
1,Africa,592
1,Africa,671
1,Africa,685
1,Africa,570
1,Africa,627
1,Africa,619
1,Africa,607
1,Africa,588
1,Africa,638
1,Africa,630
1,Africa,599
1,Africa,582
1,Africa,632
1,Africa,585
1,Africa,640
